Macrotrends Data Download;;;
;;;
U.S. Inflation Rate 1960-2023;;;
;;;
;;;
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY";;;
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.;;;
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE;;;
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.;;;
;;;
;;;
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".";;;
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.";;;
;;;
;;;
; ; ; 
date; Inflation Rate (%); Annual Change; 
31.12.1960;1.458;;
31.12.1961;1.0707;-0.39;
31.12.1962;1.1988;0.13;
31.12.1963;1.2397;0.04;
31.12.1964;1.2789;0.04;
31.12.1965;1.5852;0.31;
31.12.1966;3.0151;1.43;
31.12.1967;2.7728;-0.24;
31.12.1968;4.2718;1.5;
31.12.1969;5.4624;1.19;
31.12.1970;5.8383;0.38;
31.12.1971;4.2928;-1.55;
31.12.1972;3.2723;-1.02;
31.12.1973;6.1778;2.91;
31.12.1974;11.0548;4.88;
31.12.1975;9.1431;-1.91;
31.12.1976;5.7448;-3.4;
31.12.1977;6.5017;0.76;
31.12.1978;7.631;1.13;
31.12.1979;11.2545;3.62;
31.12.1980;13.5492;2.29;
31.12.1981;10.3347;-3.21;
31.12.1982;6.1314;-4.2;
31.12.1983;3.2124;-2.92;
31.12.1984;4.3005;1.09;
31.12.1985;3.5456;-0.75;
31.12.1986;1.898;-1.65;
31.12.1987;3.6646;1.77;
31.12.1988;4.0777;0.41;
31.12.1989;4.827;0.75;
31.12.1990;5.398;0.57;
31.12.1991;4.235;-1.16;
31.12.1992;3.0288;-1.21;
31.12.1993;2.9517;-0.08;
31.12.1994;2.6074;-0.34;
31.12.1995;2.8054;0.2;
31.12.1996;2.9312;0.13;
31.12.1997;2.3377;-0.59;
31.12.1998;1.5523;-0.79;
31.12.1999;2.188;0.64;
31.12.2000;3.3769;1.19;
31.12.2001;2.8262;-0.55;
31.12.2002;1.586;-1.24;
31.12.2003;2.2701;0.68;
31.12.2004;2.6772;0.41;
31.12.2005;3.3927;0.72;
31.12.2006;3.2259;-0.17;
31.12.2007;2.8527;-0.37;0.028527
31.12.2008;3.8391;0.99;0.038391
31.12.2009;-0.3555;-4.19;-0.003555
31.12.2010;1.64;2;0.0164
31.12.2011;3.1568;1.52;0.031568
31.12.2012;2.0693;-1.09;0.020693
31.12.2013;1.4648;-0.6;0.014648
31.12.2014;1.6222;0.16;0.016222
31.12.2015;0.1186;-1.5;0.001186
31.12.2016;1.2616;1.14;0.012616
31.12.2017;2.1301;0.87;
31.12.2018;2.4426;0.31;
31.12.2019;1.8122;-0.63;
31.12.2020;1.2336;-0.58;
31.12.2021;4.6979;3.46;
